ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
‘арш грибной,"353,1 к ал",34 г,"20,3 г","9,1 г"
‘арш из зеленого лука с €йцом,"89,1 к ал","3,1 г","7,1 г","3,5 г"
‘арш из картофел€ и свинины,"260,3 к ал","9,7 г","18,5 г","14,7 г"
‘арш из квашеной капусты,"53,8 к ал","1,8 г","3,2 г","4,7 г"
‘арш из рыбы и капусты,"181,2 к ал","17,7 г","11,1 г","2,7 г"
‘арш из рыбы и картофел€,"176,3 к ал","18,4 г","8,8 г","6,2 г"
‘арш из рыбы и €иц,"206,2 к ал","20,9 г","12,9 г","1,7 г"
‘арш из свежей капусты,"97,8 к ал","3,8 г","7,2 г","4,8 г"
‘арш картофельный с грибами или луком (1-й вариант),"148,6 к ал","9,2 г","6,7 г","13,8 г"
‘арш ливерный с кашей,"380,5 к ал","22,9 г","13,3 г","45,3 г"
‘арш морковный,"91,3 к ал",2 г,"4,8 г","10,7 г"
‘арш морковный с рисом,188 к ал,"3,4 г","7,2 г","29,1 г"
‘арш морковный с €йцом,"128,9 к ал","3,7 г","8,9 г","9,1 г"
‘арш м€сной с рисом и €йцом,"362,7 к ал","26,5 г","20,1 г","20,1 г"
‘арш рисовый с грибами,"366,2 к ал","10,5 г",8 г,"67,3 г"
‘арш рисовый с €йцом,"352,9 к ал",8 г,"8,5 г","65,1 г"
‘арш рыбный,"286,2 к ал","35,4 г","15,1 г","2,2 г"
‘арш рыбный с рисом,"291,7 к ал","27,2 г","8,1 г","29,3 г"
‘арш рыбный с рисом и визигой,"241,4 к ал","29,8 г","8,7 г","11,6 г"
"‘арш творожный (дл€ ватрушек, пирожков и вареников)","266,4 к ал","13,1 г","18,1 г","13,8 г"
‘арш €блочный,"149,1 к ал","0,4 г","0,4 г","38,3 г"
