ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"BURGER KING, ванильный коктейль",168 к ал,"3,19 г","8,74 г","19,03 г"
"BURGER KING, гамбургер",261 к ал,"14,85 г","10,55 г","25,76 г"
"BURGER KING, двойной ""WHOPPER"", без сыра",252 к ал,"13,94 г","15,66 г","12,34 г"
"BURGER KING, двойной ""WHOPPER"", с сыром",266 к ал,"14,47 г","17,06 г","11,92 г"
"BURGER KING, драники",302 к ал,"2,8 г","19,3 г","27,07 г"
"BURGER KING, картошка фри",280 к ал,"3,23 г","12,48 г","35,8 г"
"BURGER KING, круассан ""CROISSAN'WICH"" с сосиской и сыром",376 к ал,"13,73 г","25,45 г","22,3 г"
"BURGER KING, круассан ""CROISSAN'WICH"" с сосиской, €йцом и сыром",308 к ал,"12,09 г","21,78 г","14,1 г"
"BURGER KING, круассан ""CROISSAN'WICH"" с €йцом и сыром",283 к ал,"10,35 г","15,78 г","24,09 г"
"BURGER KING, куриное филе ""CHICKEN TENDERS""",292 к ал,"18,2 г","15,25 г","19,19 г"
"BURGER KING, куриный сэндвич ""Original Chicken Sandwich""",286 к ал,"12,14 г","14,69 г","23,82 г"
"BURGER KING, сэндвич ""WHOPPER"", без сыра",233 к ал,"10,74 г","12,84 г","16,75 г"
"BURGER KING, сэндвич ""WHOPPER"", с сыром",250 к ал,"11,19 г","15,33 г","15,7 г"
"BURGER KING, французские гренки",349 к ал,6 г,"17,74 г","39,81 г"
"BURGER KING, чизбургер",286 к ал,"14,57 г","14,81 г","22,71 г"
"DOMINO'S, пицца ""EXTRAVAGANZZA FEAST"", на классическом корже, сформированном вручную, 14 дюймов",244 к ал,"10,33 г","11,1 г","23,72 г"
"DOMINO'S, пицца с паперони ""Pepperoni Pizza"", на замороженном корже, 14 дюймов",283 к ал,"11,52 г","12,1 г","29,49 г"
"DOMINO'S, пицца с паперони ""Pepperoni Pizza"", на классическом корже, сформированном вручную, 14 дюймов",273 к ал,"11,25 г","11,18 г","29,76 г"
"DOMINO'S, сырна€ пицца ""Cheese Pizza"", на замороженном корже, 14 дюймов",265 к ал,"10,76 г","9,83 г","31,08 г"
"DOMINO'S, сырна€ пицца ""Cheese Pizza"", на классическом корже, сформированном вручную, 14 дюймов",257 к ал,"10,8 г","8,97 г","31,04 г"
"DOMINO'S, сырна€ пицца ""Cheese Pizza"", на тонком корже с кусочками арахиса",298 к ал,"12,33 г","15,1 г","25,68 г"
"KENTUCKY FRIED CHICKEN, бисквит, информаци€ состо€нием на €нварь 2007",358 к ал,"7,5 г","17,05 г","41,55 г"
"KENTUCKY FRIED CHICKEN, жарена€ в панировке курица ""EXTRA CRISPY"", бедра, м€со и шкурка, информаци€ состо€нием на €нварь 2007",309 к ал,"17,17 г","22,14 г","10,3 г"
"KENTUCKY FRIED CHICKEN, жарена€ в панировке курица ""EXTRA CRISPY"", крылышки, м€со и шкурка, информаци€ состо€нием на  €нваре 2007",337 к ал,"20,8 г",23 г,"11,66 г"
"KENTUCKY FRIED CHICKEN, жарена€ в панировке курица ""EXTRA CRISPY"", ножки, м€со и шкурка, информаци€ состо€нием на €нварь 2007",274 к ал,"20,62 г","17,73 г","7,96 г"
"KENTUCKY FRIED CHICKEN, жарена€ в панировке курица ""EXTRA CRISPY"", шкурка, информаци€ состо€нием на €нварь 2007",464 к ал,"10,96 г","36,61 г","21,04 г"
"KENTUCKY FRIED CHICKEN, жарена€ в панировке курица ""ORIGINAL RECIPE"", бедра, м€со и шкурка, информаци€ состо€нием на €нварь 2007",269 к ал,"18,9 г","17,73 г","8,46 г"
"KENTUCKY FRIED CHICKEN, жарена€ в панировке курица ""ORIGINAL RECIPE"", грудка, м€со и шкурка, информаци€ состо€нием на €нварь 2007",231 к ал,"21,94 г","13,11 г","6,28 г"
