ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"«аменитель €йца, жидкий или замороженный, обезжиренный",48 к ал,10 г,0 г,2 г
"«аменитель €йца, порошок",444 к ал,"55,5 г",13 г,"21,8 г"
ћеланж,157 к ал,"12,7 г","11,5 г","0,7 г"
"ќмлет из €ичного порошка, по 1-316",200 к ал,"10,3 г",17 г,"1,6 г"
"Ёгног (напиток из взбитых €иц с сахаром, ромом или вином)",88 к ал,"4,55 г","4,19 г","8,05 г"
"яичница глазунь€, по 1-312",243 к ал,"12,9 г","20,9 г","0,9 г"
яичница-болтунь€,149 к ал,"9,99 г","10,98 г","1,61 г"
"яичница-болтунь€, замороженна€",131 к ал,"13,1 г","5,6 г","7,5 г"
яичный белок куриный,48 к ал,"11,1 г","0,17 г",1 г
яичный белок куриный,52 к ал,"10,9 г","0,17 г","0,73 г"
"яичный белок куриный, замороженный",48 к ал,"10,2 г",0 г,"1,04 г"
"яичный белок куриный, сушеный",350 к ал,"82,4 г","1,8 г","1,2 г"
"яичный белок куриный, сушеный",382 к ал,"81,1 г",0 г,"7,8 г"
"яичный белок куриный, сушеный, в хлопь€х, со сниженной глюкозой",351 к ал,"76,92 г","0,04 г","4,17 г"
"яичный белок куриный, сушеный, порошок, со сниженной глюкозой",376 к ал,"82,4 г","0,04 г","4,47 г"
"яичный белок куриный, сушеный, стабилизированный, со сниженной глюкозой",357 к ал,"84,08 г","0,32 г","4,51 г"
яичный желток куриный,322 к ал,"15,86 г","26,54 г","3,59 г"
яичный желток куриный,354 к ал,"16,2 г","31,2 г","3,59 г"
яичный желток куриный замороженный,296 к ал,"15,53 г","25,6 г","0,81 г"
"яичный желток куриный замороженный, подслащенный",307 к ал,"13,87 г","22,82 г","10,95 г"
"яичный желток куриный, замороженный, подсоленый",275 к ал,"14,07 г","22,93 г","1,77 г"
"яичный желток куриный, сушеный",612 к ал,"31,1 г","52,2 г","4,7 г"
"яичный желток куриный, сушеный",669 к ал,"33,63 г","59,13 г","0,66 г"
яичный микс (удовлетвор€ющий стандартам министерства сельского хоз€йства —Ўј),555 к ал,"35,6 г","34,5 г","23,97 г"
яичный порошок,542 к ал,46 г,"37,3 г","4,5 г"
яйцо гусиное,185 к ал,"13,87 г","13,27 г","1,35 г"
яйцо индюшиное,171 к ал,"13,68 г","11,88 г","1,15 г"
яйцо куриное,143 к ал,"12,56 г","9,51 г","0,72 г"
яйцо куриное,157 к ал,"12,7 г","11,5 г","0,7 г"
яйцо куриное вареное вкрутую,"158,7 к ал","12,828 г","11,616 г","0,707 г"
яйцо куриное вареное вкрутую,155 к ал,"12,58 г","10,61 г","1,12 г"
яйцо куриное вареное всм€тку,"158,7 к ал","12,828 г","11,616 г","0,707 г"
яйцо куриное жареное,196 к ал,"13,61 г","14,84 г","0,83 г"
яйцо куриное жареное (без масла),"174,6 к ал","14,598 г","12,557 г","0,805 г"
яйцо куриное сушеное,592 к ал,"48,05 г","43,9 г","1,13 г"
"яйцо куриное, замороженное",147 к ал,"12,33 г","9,95 г","1,01 г"
"яйцо куриное, замороженное, подсоленное",138 к ал,"10,97 г","10,07 г","0,83 г"
"яйцо куриное, омлет",154 к ал,"10,57 г","11,66 г","0,64 г"
"яйцо куриное, пашот",143 к ал,"12,51 г","9,47 г","0,71 г"
"яйцо куриное, сушеное, стабилизированное, обогащенное глюкозой",615 к ал,"48,17 г","43,95 г","2,38 г"
яйцо перепелиное,158 к ал,"13,05 г","11,09 г","0,41 г"
яйцо перепелиное,168 к ал,"11,9 г","13,1 г","0,6 г"
"яйцо под майонезом, по 1-86",256 к ал,"4,1 г","24,5 г","4,7 г"
яйцо утиное,185 к ал,"12,81 г","13,77 г","1,45 г"
