ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
јбрикосовый джем,"209,5561 к ал","0,4589 г","0,0551 г","51,4907 г"
¬аренье грушевое,"214,6 к ал","0,1 г","0,1 г","56,8 г"
¬аренье из абрикосов по-венгерски,"241,5 к ал","0,3 г","0,04 г",64 г
¬аренье из айвы,"221,8 к ал","0,1 г","0,1 г","58,7 г"
¬аренье из арбузных корок,"219,9 к ал","0,2 г","0,03 г","58,4 г"
¬аренье из барбариса,"203,7 к ал",0 г,0 г,"54,3 г"
¬аренье из брусники,"160,8 к ал","0,4 г","0,3 г","41,9 г"
¬аренье из брусники,"244,3 к ал","0,2 г","0,1 г","64,6 г"
¬аренье из брусники и €блок,"247,1 к ал","0,2 г","0,1 г","65,4 г"
¬аренье из брусники по-белорусски,"191,1 к ал","0,2 г","0,1 г","50,4 г"
¬аренье из брусники с корицей и гвоздикой,"243,7 к ал","0,2 г","0,1 г","64,4 г"
¬аренье из вишни без косточек,"219,4 к ал","0,3 г","0,07 г",58 г
¬аренье из вод€ники,"217,8 к ал","0,06 г","0,05 г","57,9 г"
¬аренье из голубики и малины,"229,1 к ал","0,2 г","0,1 г","60,5 г"
¬аренье из жимолости,"218,2 к ал",0 г,0 г,"58,2 г"
¬аренье из кишмиша,"295,9 к ал",0 г,0 г,"78,9 г"
¬аренье из спелых абрикосов,"160,9 к ал","0,7 г","1,1 г","39,6 г"
¬аренье из цедры,"174,3 к ал","0,4 г","0,04 г","45,9 г"
ƒжем грушевый,"211,7 к ал","0,2 г","0,2 г","55,9 г"
ƒжем из айвы,"222,8 к ал","0,2 г","0,1 г","58,9 г"
ƒжем из бо€рышника и €блок,"89,4 к ал","0,1 г","0,1 г","23,5 г"
ƒжем из черной бузины,189 к ал,0 г,0 г,"50,4 г"
«асахаренный кишмиш протертый,"257,1 к ал",0 г,0 г,"68,6 г"
ќблепиховое варенье,"164,6 к ал","0,7 г","3,7 г","34,4 г"
ѕовидло из абрикосов,"241,5 к ал","0,3 г","0,04 г",64 г
ѕовидло из айвы,216 к ал,"0,3 г","0,2 г","56,8 г"
ѕовидло из бо€рышника,"167,8 к ал",0 г,0 г,"44,7 г"
ѕюре из черной бузины,"170,1 к ал",0 г,0 г,"45,4 г"
