ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
Ѕабка из черного хлеба с €блоками,"189,7 к ал","2,6 г",9 г,"26,2 г"
Ѕабушкины –огалики,"320,7 к ал","4,5 г","19,6 г","33,7 г"
Ѕуберт из пшеничной муки,"123,1 к ал","4,4 г","6,2 г","13,3 г"
¬атрушки (из дрожжевого теста),"319,3 к ал","13,3 г","11,9 г","42,5 г"
¬оздушный пирог из черники,"149,9 к ал","3,2 г","4,2 г","26,4 г"
 артофельное печенье,69 к ал,"2,9 г","2,5 г","9,3 г"
 артофельное суфле,"108,8 к ал","5,6 г","6,1 г","8,3 г"
" екс ""ѕока гости раздеваютс€""","286,5 к ал","4,6 г","13,1 г",40 г
 екс кондитерский,"276,2 к ал","6,2 г","13,6 г","34,4 г"
 екс молдавский,"271,4 к ал","5,6 г","8,9 г",45 г
 екс шоколадный,"356,3 к ал","6,2 г","20,2 г","39,8 г"
 рокеты из манной крупы,"176,9 к ал","4,6 г","12,2 г","13,1 г"
 рокеты из моркови с изюмом,134 к ал,"3,6 г","2,8 г","25,3 г"
 рупеник,"204,4 к ал","8,3 г","12,1 г","16,7 г"
 улеб€ки (из дрожжевого теста),"278,9 к ал","16,2 г","11,7 г",29 г
 улич пасхальный,"320,4 к ал","6,8 г","14,4 г","43,8 г"
Ћапшевник с творогом,"165,9 к ал","6,9 г","9,5 г","14,1 г"
Ћекех,"264,3 к ал","6,8 г","5,2 г","50,9 г"
Ћепешки из творога и картофел€,"153,8 к ал","9,3 г","8,9 г","9,9 г"
ћакаронник,"126,6 к ал","4,1 г","5,6 г",16 г
ћанна€ запеканка с вишней,"102,7 к ал","3,6 г","3,6 г","14,9 г"
ћанник,"218,4 к ал","6,2 г","2,4 г","45,9 г"
ћанный пудинг с абрикосами,"126,1 к ал","4,4 г","4,4 г","18,5 г"
ћанный пудинг с грушами,"115,5 к ал","3,5 г","3,2 г","19,4 г"
ћанный пудинг с клубникой,"119,5 к ал","4,1 г","5,2 г","15,1 г"
ћедовик,"311,1 к ал","8,3 г","4,9 г","62,3 г"
ћиндальный пудинг с клубникой,"178,5 к ал","4,1 г","8,6 г","22,5 г"
ќреховое печение,"268,5 к ал","6,7 г","12,1 г","35,5 г"
ѕеченье из картофел€ с €блоками,148 к ал,"1,9 г","4,5 г","26,7 г"
ѕеченье из кофе,"366,6 к ал","6,2 г","21,3 г",40 г
ѕеченье из творога,"380,9 к ал","9,3 г",26 г,"29,3 г"
ѕирог летний,"238,3 к ал","9,2 г","8,4 г","33,5 г"
ѕирог от јнюты,"312,5 к ал","9,8 г","15,9 г","34,8 г"
ѕирог с бананами,"115,6 к ал","2,3 г","0,7 г","26,8 г"
ѕирог с вишн€ми,"313,9 к ал","2,9 г","20,7 г",31 г
ѕирог с творогом и вишней,"128,3 к ал","7,7 г","3,7 г",17 г
ѕирог с черникой,"298,4 к ал","2,9 г","11,5 г","48,8 г"
ѕирог €блочный открытый,"193,6 к ал","2,1 г","7,3 г",32 г
ѕироги закрытые,"252,4 к ал","12,1 г","6,6 г","38,7 г"
ѕирожки жареные из дрожжевого теста (простые с фаршем массой 75г.),"339,4 к ал","13,5 г","17,7 г","33,6 г"
ѕирожки печеные из дрожжевого теста (простые массой 75г.),"285,8 к ал","14,4 г","9,2 г","38,7 г"
