ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
јбрикосовое суфле,"116,2208 к ал","5,6456 г","0,0347 г","23,1126 г"
јпельсиновые корзиночки с кремом,"118,9 к ал","3,1 г",8 г,"9,2 г"
јпельсиновый десерт,"56,7 к ал","0,7 г","0,2 г",14 г
јпельсины в ванильном соусе,"68,7 к ал","2,4 г","1,7 г","11,6 г"
Ѕезе,"234,4 к ал",1 г,0 г,"61,4 г"
Ѕезе,"304,8 к ал","2,3 г",0 г,"78,8 г"
Ѕисквит из €ичных белков,"319,2 к ал","11,1 г","12,3 г","43,7 г"
Ѕлинчики из овс€ных хлопьев,"170,1 к ал","5,2 г","9,2 г","17,7 г"
Ѕлинчики с маком,"214,3 к ал","7,4 г","10,6 г","23,7 г"
Ѕлинчики с морковью,"105,4 к ал","4,2 г","5,3 г",11 г
"Ѕлинчики с м€сным, ливерным, творожным, €блочным фаршем, джемом, повидлом или вареньем","278,3 к ал","13,7 г","18,1 г","16,1 г"
Ѕлинчики-полуфабрикат (оболочка),153 к ал,"6,4 г","4,8 г","22,6 г"
Ѕлины,"232,5 к ал","6,1 г","12,3 г",26 г
Ѕлины гречневые,"229,1 к ал","6,8 г","13,1 г","22,3 г"
Ѕлины гурьевские,"178,6 к ал","6,5 г","8,6 г","19,9 г"
Ѕлины дехканские,"210,2 к ал",7 г,"1,1 г","45,8 г"
Ѕлины из вареного картофел€,"189,3 к ал",4 г,"11,9 г","17,6 г"
Ѕлины из капусты,"154,4 к ал",4 г,"12,2 г","7,7 г"
Ѕлины из тыквы,"138,3 к ал","2,6 г","8,3 г","14,3 г"
Ѕлины красные,"174,7 к ал","4,5 г","13,1 г","10,3 г"
Ѕлины кукурузные (чечено-ингушское национальное блюдо),221 к ал,"6,1 г","11,8 г",24 г
Ѕлины с квашенной капустой,"106,6 к ал","3,4 г","3,3 г","16,8 г"
Ѕлины слав€нские,218 к ал,"9,3 г","8,7 г","27,2 г"
Ѕлины со сладким соусом по-староелецки,"291,7 к ал","6,6 г","20,7 г","21,1 г"
Ѕлины-скородумки,"127,2 к ал","4,8 г","5,8 г","14,9 г"
Ѕрусника свежа€ с сахаром,"146,9 к ал","0,5 г","0,3 г","37,8 г"
¬анильный крем,"190,6 к ал","4,5 г","12,8 г","15,2 г"
¬анильный соус,"72,1 к ал","3,5 г","2,8 г","8,8 г"
¬афли,"210,9 к ал","5,5 г","6,5 г","34,9 г"
¬афли на вафельнице,"319,3 к ал","4,8 г","18,6 г","35,5 г"
¬збитый лимонный соус,"112,4 к ал",2 г,"1,2 г",25 г
¬збитый шоколадный соус,"114,7 к ал",5 г,"4,6 г","14,3 г"
