ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
Aquarius [Coca-Cola],18 к ал,0 г,0 г,"4,4 г"
Aquarius Lemon [Coca-Cola],14 к ал,0 г,0 г,"3,3 г"
Cacaolat [Coca-Cola],40 к ал,"2,7 г","0,5 г","4,3 г"
Cherry (Ѕанка) [Coca-Cola],150 к ал,0 г,0 г,42 г
Cherry [Coca-Cola],150 к ал,0 г,0 г,42 г
Cherry Zero [Coca-Cola],0 к ал,0 г,0 г,0 г
Cherry без —ахара [Coca-Cola],0 к ал,0 г,0 г,0 г
Coca-Cola,42 к ал,0 г,0 г,"10,6 г"
Coca-Cola Cherry без —ахара,0 к ал,0 г,0 г,0 г
Coca-Cola Cinnamon,0 к ал,0 г,0 г,0 г
Coca-Cola Energy,42 к ал,0 г,0 г,"10,3 г"
Coca-Cola Life,90 к ал,0 г,0 г,24 г
Coca-Cola Light,0 к ал,0 г,0 г,0 г
Coca-Cola Orange без —ахара,1 к ал,0 г,0 г,0 г
Coca-Cola Zero,0 к ал,0 г,0 г,0 г
Energy без —ахара [Coca-Cola],1 к ал,0 г,0 г,0 г
Fanta Apple [Coca-Cola],51 к ал,0 г,0 г,"13,5 г"
Sprite [Coca-Cola],19 к ал,0 г,0 г,"4,5 г"
Sprite ¬кус ќгурец [Coca-Cola],39 к ал,0 г,0 г,"9,7 г"
Sprite со ¬кусом јрбуз-ќгурец [Coca-Cola],1 к ал,0 г,0 г,0 г
Vanilla [Coca-Cola],150 к ал,0 г,0 г,42 г
Vanilla [Coca-Cola],45 к ал,0 г,0 г,"11,2 г"
¬ода [Coca-Cola],0 к ал,0 г,0 г,0 г
 ока- ола ¬анилла [Coca-Cola],45 к ал,0 г,0 г,"11,2 г"
 ока- ола «еро [Coca-Cola],0 к ал,0 г,0 г,0 г
 ола [Coca-Cola],42 к ал,0 г,0 г,"10,6 г"
 ола Ћайт [Coca-Cola],0 к ал,0 г,0 г,0 г
Ќапиток [Coca-Cola],42 к ал,0 г,0 г,"10,6 г"
