ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
Celebrations [Mars],493 к ал,"5,5 г",24 г,62 г
Choc Brownie [Mars],452 к ал,"4,6 г","18,3 г",66 г
Cookies [Mars],454 к ал,"5,4 г","20,1 г","61,3 г"
Dessert Sauce [Mars],326 к ал,"1,3 г",8 г,62 г
Hi Protein Salted Caramel [Mars],209 к ал,20 г,"4,9 г",23 г
M&Ms [Mars],481 к ал,"4,3 г","19,2 г","71,5 г"
Mars,230 к ал,"2,2 г",9 г,34 г
Mars,455 к ал,"3,9 г","17,7 г",70 г
Mars Max,454 к ал,4 г,"17,5 г","69,5 г"
Mars Milk,70 к ал,3 г,"2,1 г","9,6 г"
Mars Milk,244 к ал,"10,7 г","7,3 г","33,6 г"
Mars Mini,80 к ал,"0,6 г","2,8 г","12,8 г"
Mars Minis,59 к ал,"0,5 г","2,2 г","9,1 г"
Mars Minis,452 к ал,"3,8 г","17,1 г",70 г
Mars Protein,351 к ал,33 г,"8,1 г",39 г
Mars Protein,200 к ал,19 г,"4,6 г",22 г
Milkyway [Mars],120 к ал,"0,9 г","4,4 г","19,3 г"
Milkyway Minis [Mars],448 к ал,"2,8 г","15,6 г","73,5 г"
Xtra Choc Protein [Mars],188 к ал,"18,1 г","4,2 г","21,8 г"
√ор€чий Ўоколад [Mars],175 к ал,"7,9 г","4,1 г",26 г
ћолочное ћороженое [Mars],330 к ал,"3,5 г","17,1 г","40,3 г"
ћороженное [Mars],170 к ал,"2,1 г","9,1 г","19,9 г"
ћороженное —никерс [Mars],209 к ал,4 г,"11,4 г","22,3 г"
ћороженое [Mars],268 к ал,"3,3 г","14,2 г","31,2 г"
ћороженое [Mars],139 к ал,"1,7 г","7,5 г","15,8 г"
ћороженое Praline [Mars],339 к ал,"3,5 г","17,6 г","41,3 г"
ћороженое Ѕаунти [Mars],348 к ал,4 г,21 г,36 г
ћороженое —никерс [Mars],209 к ал,4 г,"11,4 г","22,3 г"
ѕротеиновый Ѕатончик [Mars],351 к ал,33 г,"8,1 г",39 г
ѕротеиновый Ѕатончик [Mars],231 к ал,22 г,"5,3 г","25,7 г"
ѕротеиновый Ѕатончик Ѕаунти [Mars],192 к ал,"18,7 г","5,7 г","17,3 г"
—никерс ѕломбир [Mars],509 к ал,"8,2 г","27,5 г","56,3 г"
Ўоколадный Ѕатончик [Mars],454 к ал,4 г,"17,5 г","69,5 г"
