ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"Ѕиточки паровые из курицы, по 2-24",176 к ал,"18,6 г","7,2 г","9,3 г"
"Ѕрикет из куриного м€са, замороженный, неприготовленный",292 к ал,"14,33 г","20,04 г","12,41 г"
"Ѕрикет из куриного м€са, замороженный, приготовленный",287 к ал,"14,85 г","19,58 г","12,54 г"
Ѕульон куриный,36 к ал,"2,52 г","1,2 г","3,53 г"
"¬етчина из индейки, темное м€со, копчена€, замороженна€",118 к ал,"16,3 г",4 г,"3,1 г"
"√олубь, приготовленный (включа€ голуб€т)",213 к ал,"23,9 г",13 г,0 г
"√олубь, птенцы",294 к ал,"18,47 г","23,8 г",0 г
"√олубь, птенцы, белое м€со без кожи",134 к ал,"21,76 г","4,52 г",0 г
"√олубь, птенцы, только м€со",142 к ал,"17,5 г","7,5 г",0 г
√рудка цыпленка-бройлера (филе),116 к ал,"19,6 г","4,1 г","0,3 г"
√усь 1 кат.,412 к ал,"15,2 г",39 г,0 г
√усь 2 кат.,317 к ал,17 г,"27,7 г",0 г
√усь домашний,371 к ал,"15,86 г","33,62 г",0 г
"√усь домашний, запечЄнный",305 к ал,"25,16 г","21,92 г",0 г
"√усь домашний, только м€со",161 к ал,"22,75 г","7,13 г",0 г
"√усь домашний, только м€со, запечЄнный",238 к ал,"28,97 г","12,67 г",0 г
√ус€та 1 кат.,326 к ал,"16,6 г","28,8 г",0 г
√ус€та 2 кат.,208 к ал,"19,1 г","14,6 г",0 г
"ƒомашн€€ птица, м€со  механической обвалки со спинок и шеек без кожи, сырое",199 к ал,"13,79 г","15,48 г",0 г
"ƒомашн€€ птица, м€со зрелых индеек, без костей, сырое",243 к ал,"14,72 г","19,98 г",0 г
"ƒомашн€€ птица, м€со механической обвалки со спинок и шеек с кожей, сырое",272 к ал,"11,39 г","24,73 г",0 г
∆елудки индейки,111 к ал,"18,8 г","3,37 г",0 г
"∆елудки индейки, вареные на медленном огне",155 к ал,"26,45 г","4,64 г",0 г
∆елудки куриные,94 к ал,"17,66 г","2,06 г",0 г
"∆елудки куриные, вареные на медленном огне",154 к ал,"30,39 г","2,68 г",0 г
∆елудок куриный,130 к ал,21 г,"6,4 г","0,6 г"
∆елудок цыпленка бройлера,122 к ал,"20,7 г",4 г,"0,8 г"
»ндейка,144 к ал,"21,64 г","5,64 г","0,14 г"
»ндейка 1 кат.,276 к ал,"19,5 г",22 г,0 г
»ндейка 2 кат.,194 к ал,"21,6 г",12 г,0 г
"»ндейка дл€ тако, замороженна€, приготовленна€",148 к ал,"16,8 г","7,58 г","3,03 г"
"»ндейка с подливкой, замороженна€",67 к ал,"5,88 г","2,63 г","4,61 г"
"»ндейка, бедра, предварительно замаринованные, запечЄнные",157 к ал,"18,8 г","8,54 г",0 г
"»ндейка, бедро, м€со с кожей",161 к ал,"19,54 г","9,16 г",0 г
"»ндейка, бедро, м€со с кожей, запечЄнное",183 к ал,"23,95 г","9,5 г","0,41 г"
"»ндейка, бедро, только м€со",116 к ал,"20,6 г","3,69 г",0 г
"»ндейка, бедро, только м€со, запечЄнное",159 к ал,"25,14 г","6,25 г","0,46 г"
"»ндейка, белое и темное м€со нарезанное, приправленное",138 к ал,"18,7 г",6 г,1 г
"»ндейка, белое или темное м€со без кожи, копченое",162 к ал,"29,3 г",5 г,0 г
"»ндейка, белое или темное м€со с кожей, копченое",208 к ал,"28,1 г","9,7 г",0 г
"»ндейка, белое м€со",114 к ал,"23,66 г","1,48 г","0,14 г"
"»ндейка, белое м€со с кожей",161 к ал,"21,96 г","7,43 г","0,15 г"
"»ндейка, белое м€со с кожей, запечЄнна€",177 к ал,"29,55 г","5,57 г","0,05 г"
"»ндейка, белое м€со, запечЄнна€",147 к ал,"30,13 г","2,08 г",0 г
"»ндейка, голень копчЄна€",200 к ал,"27,9 г","9,8 г",0 г
"»ндейка, голень, м€со с кожей",141 к ал,"19,96 г","6,84 г",0 г
"»ндейка, голень, м€со с кожей, запечЄнна€",197 к ал,"28,21 г","9,37 г",0 г
"»ндейка, голень, только м€со",118 к ал,"20,52 г","3,97 г",0 г
"»ндейка, голень, только м€со, запечЄнна€",173 к ал,"28,61 г","6,52 г",0 г
"»ндейка, грудка с кожей",157 к ал,"21,89 г","7,02 г",0 г
"»ндейка, грудка с кожей, запечЄнна€",189 к ал,"28,71 г","7,41 г",0 г
"»ндейка, грудка с кожей, предварительно замаринованна€, запечЄнна€",126 к ал,"22,16 г","3,46 г",0 г
"»ндейка, грудка, только м€со",114 к ал,"23,66 г","1,48 г","0,14 г"
"»ндейка, грудка, только м€со, запечЄнна€",147 к ал,"30,13 г","2,08 г",0 г
"»ндейка, жарена€, по 2-16",280 к ал,"23,4 г","20,7 г","0,1 г"
"»ндейка, жаркое, белое и темное м€со без костей, приправленное, замороженное",120 к ал,"17,6 г","2,2 г","6,4 г"
"»ндейка, жаркое, белое и темное м€со без костей, приправленное, замороженное, запечЄнное",155 к ал,"21,32 г","5,78 г","3,07 г"
"»ндейка, запечЄнна€",189 к ал,"28,55 г","7,39 г","0,06 г"
"»ндейка, крылышки",197 к ал,"20,22 г","12,32 г",0 г
"»ндейка, крылышки, запечЄнные",229 к ал,"27,38 г","12,43 г",0 г
"»ндейка, крылышки, копченые",221 к ал,"27,4 г","12,41 г",0 г
"»ндейка, крылышки, только м€со",115 к ал,"23,66 г","1,48 г","0,14 г"
"»ндейка, крылышки, только м€со, запечЄнные",147 к ал,"30,13 г","2,08 г",0 г
"»ндейка, м€со механически отделЄнное от костей",201 к ал,"13,29 г","15,96 г",0 г
"»ндейка, окорочка",144 к ал,"19,54 г","6,72 г",0 г
"»ндейка, окорочка, запечЄнные",208 к ал,"27,87 г","9,82 г",0 г
"»ндейка, отварна€, по 2-6",273 к ал,"23,6 г","19,8 г",0 г
"»ндейка, потроха",124 к ал,"18,18 г","5,09 г","0,07 г"
"»ндейка, потроха и шейки",157 к ал,"20,37 г","7,77 г","0,08 г"
"»ндейка, потроха и шейки,  запечЄнные",205 к ал,"27,98 г","9,45 г","0,07 г"
"»ндейка, потроха, вареные на медленном огне",173 к ал,"26,44 г","6,61 г",0 г
"»ндейка, спинка",196 к ал,"18,11 г","13,11 г",0 г
"»ндейка, спинка, запечЄнна€",244 к ал,"26,59 г","14,38 г","0,16 г"
"»ндейка, спинки, только м€со",113 к ал,"21,28 г","2,5 г","0,15 г"
"»ндейка, спинки, только м€со, запечЄнные",173 к ал,"27,71 г","6,04 г",0 г
"»ндейка, темное м€со",108 к ал,"21,28 г","2,5 г","0,15 г"
"»ндейка, темное м€со с кожей",166 к ал,"19,81 г","8,97 г","0,15 г"
"»ндейка, темное м€со с кожей,  запечЄнное",206 к ал,"27,27 г","9,95 г","0,07 г"
"»ндейка, темное м€со, запечЄнное",173 к ал,"27,71 г","6,04 г",0 г
"»ндейка, только кожа",407 к ал,"12,96 г","38,93 г","0,16 г"
"»ндейка, только кожа, запечЄнна€",459 к ал,"23,94 г","39,31 г","0,57 г"
"»ндейка, только м€со",115 к ал,"22,64 г","1,93 г","0,14 г"
