ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
јбрикосовое пюре,60 к ал,"1,2 г",0 г,"13,9 г"
јбрикосовый джем,276 к ал,"0,5 г",0 г,"71,6 г"
јбрикосовый компот.  онсервы,89 к ал,"0,2 г","0,08 г","21,7 г"
јбрикосы,44 к ал,"0,9 г","0,1 г",9 г
јбрикосы,48 к ал,"1,4 г","0,39 г","9,12 г"
"јбрикосы без кожуры, консервированные в водной заливке",22 к ал,"0,69 г","0,03 г","4,38 г"
"јбрикосы без кожуры, консервированные в насыщенном сахарном сиропе",83 к ал,"0,51 г","0,09 г","19,85 г"
"јбрикосы без кожуры, консервированные в экстра-насыщенном сахарном сиропе",96 к ал,"0,55 г","0,04 г","23,25 г"
јбрикосы замороженные подслащенные,98 к ал,"0,7 г","0,1 г","22,9 г"
јбрикосы сушеные,241 к ал,"3,39 г","0,51 г","55,34 г"
"јбрикосы сушеные (дегидрированные), сульфитированные, неприготовленные",320 к ал,"4,9 г","0,62 г","82,89 г"
"јбрикосы сушеные (дегидрированные), сульфитированные, тушеные",126 к ал,"1,93 г","0,24 г","32,62 г"
"јбрикосы сушеные (курага), тушеные без сахара",85 к ал,"1,2 г","0,18 г","19,55 г"
"јбрикосы сушеные (курага), тушеные с сахаром",113 к ал,"1,17 г","0,15 г","25,16 г"
јбрикосы сушеные с косточкой (урюк),242 к ал,5 г,"0,4 г",53 г
"јбрикосы, консервированные (половинки или кусочки)",85 к ал,"0,5 г",0 г,21 г
"јбрикосы, консервированные в водной заливке",27 к ал,"0,71 г","0,16 г","4,79 г"
"јбрикосы, консервированные в легком сахарном сиропе",63 к ал,"0,53 г","0,05 г","14,89 г"
"јбрикосы, консервированные в насыщенном сахарном сиропе",83 к ал,"0,64 г","0,11 г","18,61 г"
"јбрикосы, консервированные в насыщенном сахарном сиропе",83 к ал,"0,53 г","0,08 г","19,87 г"
"јбрикосы, консервированные в экстра-легком сахарном сиропе",49 к ал,"0,6 г","0,1 г","10,9 г"
јйва,48 к ал,"0,6 г","0,5 г","9,6 г"
јйва,57 к ал,"0,4 г","0,1 г","13,4 г"
јйвовый компот.  онсервы,82 к ал,"0,4 г","0,3 г","19,7 г"
јктиниди€  (дальневосточное киви),56 к ал,0 г,0 г,13 г
јнанас,52 к ал,"0,3 г","0,1 г","11,8 г"
"јнанас замороженный, подслащенный",86 к ал,"0,4 г","0,1 г","21,1 г"
"јнанас, все сорта",50 к ал,"0,54 г","0,12 г","11,72 г"
"јнанас, консервированный в водной заливке",32 к ал,"0,43 г","0,09 г","7,5 г"
"јнанас, консервированный в легком сахарном сиропе",52 к ал,"0,36 г","0,12 г","12,65 г"
"јнанас, консервированный в насыщенном сахарном сиропе",78 к ал,"0,35 г","0,11 г","19,4 г"
"јнанас, консервированный в собственном соку",60 к ал,"0,51 г","0,11 г","14,26 г"
"јнанас, консервированный в экстра-насыщенном сахарном сиропе",83 к ал,"0,34 г","0,11 г","20,7 г"
"јнанас, несладкие сорта",45 к ал,"0,55 г","0,13 г","11,82 г"
"јнанас, сладкие сорта",51 к ал,"0,53 г","0,11 г","12,1 г"
"јннона сетчата€ (кремовое €блоко, ""бычье сердце"")",101 к ал,"1,7 г","0,6 г","22,8 г"
јпельсин,43 к ал,"0,9 г","0,2 г","8,1 г"
"јпельсин валенсийский,  алифорни€",49 к ал,"1,04 г","0,3 г","9,39 г"
јпельсин пупочный (сорт навел),49 к ал,"0,91 г","0,15 г","10,34 г"
