ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
"CONTINENTAL MILLS, KRUSTEAZ ћиндальна€ смесь с маком, с исскуственными ароматизаторами, суха€",418 к ал,"5,6 г","10,3 г","73,9 г"
"јнглийские маффины, из цельной пшеницы",203 к ал,"8,8 г","2,1 г","33,7 г"
"јнглийские маффины, обычные, необогащенные, без пропионата кальци€ (E282 - вызывает рак), (включа€, на хлебной закваске)",235 к ал,"7,7 г","1,8 г","43,3 г"
"јнглийские маффины, обычные, необогащенные, с пропионатом кальци€ (E282 - вызывает рак), (включа€, на хлебной закваске)",235 к ал,"7,7 г","1,8 г","43,3 г"
"јнглийские маффины, обычные, обогащенные, без пропионата кальци€ (E282 - вызывает рак), (включа€, на хлебной закваске)",235 к ал,"7,7 г","1,8 г","43,3 г"
"јнглийские маффины, обычные, приготовленные в тостере, обогащенные, с пропионатом кальци€ (E282 - вызывает рак), (включа€, на хлебной закваске)",270 к ал,"10,32 г","2,02 г","49,85 г"
"јнглийские маффины, пшеничные",223 к ал,"8,7 г",2 г,"40,2 г"
Ѕаранки простые,311 к ал,"10,4 г","1,3 г","64,2 г"
Ѕаранки сдобные,348 к ал,"8,3 г",8 г,"60,4 г"
Ѕатон нарезной из муки 1 сорта (хлеб),259 к ал,"7,7 г",3 г,"50,1 г"
Ѕатон нарезной из муки в/с (хлеб),262 к ал,"7,5 г","2,9 г","51,4 г"
Ѕатон простой из муки 1 сорта (хлеб),238 к ал,8 г,1 г,"49,1 г"
Ѕелковый хлеб (с клейковиной),245 к ал,"12,1 г","2,2 г","40,8 г"
Ѕелый хлеб низкокалорийный,207 к ал,"8,7 г","2,5 г","34,6 г"
"Ѕисквитный пирог, готовый",258 к ал,"5,9 г","0,8 г","56,3 г"
"Ѕисквитный пирог, приготовленный из сухой смеси",257 к ал,"6,1 г","0,3 г","58,5 г"
"Ѕисквиты из смеси злаков, замороженное тесто",263 к ал,"6,1 г","5,6 г","47,4 г"
"Ѕисквиты, простые или с обезжиренными сливками (пахтой),  приготовленный из сухой смеси",335 к ал,"7,3 г","12,1 г","46,6 г"
"Ѕисквиты, простые или с обезжиренными сливками (пахтой), готовые",338 к ал,"6,2 г","11,03 г","52,57 г"
"Ѕисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, жирные",307 к ал,"6,66 г","10,58 г","45,62 г"
"Ѕисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, жирные, испеченные",324 к ал,"6,79 г","11,22 г","46,25 г"
"Ѕисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, маложирные",270 к ал,"6,7 г","7,83 г","41,7 г"
"Ѕисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, маложирные, испеченный",319 к ал,"7,8 г","9,1 г","49,3 г"
"Ѕисквиты, простые или с обезжиренными сливками (пахтой), приготовленные по рецепту",353 к ал,7 г,"16,3 г","43,1 г"
"Ѕисквиты, простые или с обезжиренными сливками (пахтой), суха€ смесь",428 к ал,8 г,"15,4 г","61,3 г"
"Ѕлины, обычные, замороженные, готовые к выпечке (включа€ блины из пахты)",233 к ал,"5,23 г","6,83 г","36,75 г"
"Ѕлины, обычные, замороженные, готовые к выпечке, разогретые в микроволновке (включа€ блины из пахты)",239 к ал,"5,88 г","4,73 г","40,83 г"
"Ѕлины, по 2-174",189 к ал,"5,1 г","3,1 г","32,6 г"
