ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
јзу,"177,62 к ал","9,3114 г","12,2569 г","7,2551 г"
јнтрекот,"317,2565 к ал","21,536 г","25,0652 г","1,3686 г"
јнчоусы и кильки с картофелем,"156,5 к ал","12,3 г","7,9 г","9,7 г"
Ѕаклажаны панированные,236 к ал,"2,9 г","23,1 г","4,4 г"
Ѕаклажаны по-украински,"154,1 к ал","1,7 г","13,6 г","6,8 г"
Ѕаклажаны под майонезом,"114,2 к ал","1,4 г","10,4 г","4,1 г"
Ѕаклажаны тушеные с помидорами,"189,3 к ал","2,1 г","17,7 г","5,7 г"
"Ѕаранина рублена€, запеченна€ в омлете (чувашское национальное блюдо)","246,3 к ал",14 г,"20,1 г","2,5 г"
Ѕаранина с рисом и изюмом (еврейское национальное блюдо),"265,4 к ал","12,4 г",18 г,"14,4 г"
Ѕел€ш,"139,3 к ал","8,8 г","6,2 г","12,8 г"
Ѕел€ши (казахское национальное блюдо),"260,6 к ал","14,6 г","14,7 г","18,7 г"
Ѕереки (мучное изделие с м€сом - калмыцкое национальное блюдо),289 к ал,"15,4 г","18,9 г","15,3 г"
Ѕефстроганов,"355,4 к ал","21,9 г","27,4 г","5,7 г"
"Ѕиточки или котлеты манные, рисовые","162,4 к ал",4 г,"7,8 г","20,4 г"
"Ѕиточки или котлеты пшенные, пшеничный, перловые, €чневые","151,9 к ал","3,9 г","7,4 г","18,6 г"
Ѕиточки паровые,"281,4 к ал",20 г,"19,5 г",7 г
Ѕиточки по-сел€нски (украинское национальное блюдо),"208,6 к ал","9,8 г","13,8 г",12 г
"Ѕиточки рубленые из птицы, дичи или кролика паровые под белым соусом с рисом","307,1 к ал","11,2 г","13,2 г","38,3 г"
"Ѕиточки рыбные, жаренные ""фри""","232,1 к ал","12,3 г",15 г,"12,7 г"
"Ѕиточки, котлеты из кальмаров и рыбы",363 к ал,"14,4 г","12,5 г","51,4 г"
Ѕифштекс,"384,3 к ал","27,8 г","29,6 г","1,7 г"
Ѕифштекс рубленый,"497,3 к ал","27,1 г","43,2 г",0 г
Ѕифштекс с луком,"337,7 к ал",25 г,25 г,"3,4 г"
Ѕифштекс с €йцом,"326,4 к ал","26,1 г",24 г,"1,6 г"
Ѕифштексы рубленые,166 к ал,"11,1 г","12,9 г","1,4 г"
Ѕобовые с копченой грудинкой или корейкой,"381,4 к ал",23 г,"14,9 г","41,4 г"
