ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
¬инегрет,"130,1 к ал","1,7 г","10,3 г","8,2 г"
¬инегрет из овощей,"176,9 к ал","1,9 г","13,9 г","11,7 г"
¬инегрет из овощей и фруктов,"137,4 к ал","1,9 г","9,5 г","11,9 г"
"¬инегрет из овощей, €блок и зелени","104,2 к ал","1,6 г","7,3 г","8,6 г"
¬инегрет из перца с картофелем,"97,4 к ал",3 г,"6,2 г","7,9 г"
¬инегрет из фруктов и овощей,"128,5 к ал","2,1 г","8,2 г","12,4 г"
¬инегрет овощной,"76,6 к ал","1,7 г","4,9 г","6,8 г"
¬инегрет овощной,"158,7 к ал","5,7 г","8,4 г","16,2 г"
¬инегрет по-румынски,"208,1 к ал","6,2 г","16,8 г","8,7 г"
¬инегрет с консервированным м€сом,215 к ал,"10,3 г","15,4 г","9,5 г"
¬инегрет с селедкой,"119,1 к ал","4,5 г","6,9 г","10,5 г"
¬инегрет с сельдью,"179,2 к ал","9,1 г",13 г,"6,8 г"
ƒиетический салат из свеклы и €блок,"94,2 к ал","0,8 г",3 г,17 г
"∆ареный салат ""”ниверсал""","26,6 к ал",1 г,"0,2 г","5,5 г"
ћорковный салат,"88,2 к ал","0,8 г","7,5 г","4,7 г"
ћорковь с помидорами и €блоками,"44,4 к ал","0,8 г","1,6 г",7 г
ќгуречный салат,"131,5 к ал","3,7 г",12 г,"2,2 г"
ќкрошка,"75,7 к ал","3,7 г","5,1 г",4 г
ќкрошка,"57,2 к ал","2,4 г","3,2 г",5 г
ќкрошка м€сна€,"89,1 к ал",7 г,"4,8 г","4,6 г"
ќкрошка овощна€,"48,1 к ал","1,9 г","1,9 г","6,4 г"
ќкрошка сборна€ м€сна€,"95,1 к ал","5,1 г","6,4 г","4,6 г"
ќригинальный салат,0 к ал,0 г,0 г,0 г
ѕестрый летний салат,0 к ал,0 г,0 г,0 г
ѕестрый салат,"73,9 к ал","3,7 г","1,9 г","11,2 г"
ѕеченочный салат,"104,7 к ал","8,2 г","7,5 г","1,1 г"
ѕикантный салат,0 к ал,0 г,0 г,0 г
ѕомидоры с огурцами и перцем,"30,7 к ал",1 г,"0,9 г",5 г
ѕомидоры с огурцами и €блоками,"65,7 к ал","0,8 г","4,9 г","4,8 г"
ѕомидоры с чесночной заправкой,"70,9 к ал","3,9 г","1,9 г","10,1 г"
"ѕомидоры, фаршированные  салатом из €блок и огурцов",0 к ал,0 г,0 г,0 г
"ѕомидоры, фаршированные салатом из €блок и огурцов.","53,5 к ал","0,7 г","3,2 г","5,8 г"
–едиска со сметаной,"103,5 к ал","2,7 г",9 г,3 г
–едька в сметане,"111,8 к ал",2 г,"9,2 г","5,5 г"
–ыбный салат,"145,6 к ал","5,1 г",12 г,"4,5 г"
–ыбный салат,207 к ал,"9,3 г","18,3 г","1,4 г"
"—алат ""јк-идель"" (рыбный с рисом по-башкирски)","368,8 к ал","18,4 г","29,6 г","7,5 г"
"—алат ""јрхиерейский""","221,5 к ал","5,9 г","20,8 г",3 г
"—алат ""¬есна""","90,3 к ал",3 г,"7,4 г","3,1 г"
"—алат ""√нездо глухар€""",0 к ал,0 г,0 г,0 г
"—алат ""√ранат""","225,9 к ал","4,7 г",18 г,12 г
"—алат ""√ранатовый браслет""","166,6 к ал","3,9 г","14,2 г","6,1 г"
"—алат ""√рибки""","77,6 к ал","6,5 г","4,7 г","2,6 г"
"—алат ""«олушка""",0 к ал,0 г,0 г,0 г
"—алат "" иевский""","160,9 к ал",5 г,12 г,"8,8 г"
"—алат "" опенгагенский""","75,7 к ал",3 г,"4,8 г","5,4 г"
"—алат "" ремлевский""","252,3 к ал","5,8 г","22,1 г","7,9 г"
"—алат ""Ћетний""","102,5 к ал","3,6 г","7,5 г","5,4 г"
"—алат ""ћатрешки""","125,9 к ал","11,4 г","8,4 г","1,2 г"
"—алат ""ћимоза""","296,6 к ал","6,3 г","28,3 г","4,4 г"
"—алат ""ћолдова""","283,5 к ал","5,5 г","20,4 г","20,7 г"
"—алат ""ћосковский""","280,3 к ал","4,7 г","24,7 г","10,5 г"
"—алат ""Ќевеста""","218,7 к ал","4,3 г","18,5 г","9,4 г"
"—алат ""Ќежность""",211 к ал,"5,1 г","8,7 г",30 г
"—алат ""ќбжарка""","132,6 к ал","3,8 г","11,9 г","2,7 г"
"—алат ""ќсенний"" из свежих овощей с рыбой",123 к ал,"8,3 г","7,7 г","5,5 г"
"—алат ""ќстрый"" из картофел€ с ветчиной и чесноком",175 к ал,"5,9 г","10,3 г","15,5 г"
"—алат ""ѕетровский"" грибной с квашеной капустой и огурцами","110,5 к ал","1,5 г","10,3 г","3,1 г"
"—алат ""ѕри€тное с полезным""","101,7 к ал","8,5 г","0,7 г","16,5 г"
"—алат ""“иха€ заводь""","259,9 к ал","7,8 г","23,5 г","4,6 г"
"—алат ""”ниверсал""","27,2 к ал",1 г,"0,2 г","5,6 г"
"—алат ""‘антази€""",0 к ал,0 г,0 г,0 г
"—алат ""÷езарь""","303,6 к ал","14,8 г","17,2 г",24 г
"—алат ""÷езарь"" классический",0 к ал,0 г,0 г,0 г
"—алат ""Ёгоист""","252,3 к ал","10,5 г","19,5 г","9,2 г"
"—алат ""Ёксклюзив""","100,4 к ал","7,2 г","6,8 г","2,9 г"
"—алат ""Ёкспериментальный""",85 к ал,"2,6 г","4,2 г","9,8 г"
"—алат ""Ёстонский""","166,2 к ал","2,3 г","14,2 г","7,8 г"
—алат витаминный - 1,101 к ал,"1,3 г","7,4 г","7,8 г"
—алат витаминный - 2,"113,7 к ал","1,4 г","7,7 г","10,3 г"
—алат гороховый с €блоками,"102,3 к ал","3,3 г","5,3 г","11,2 г"
—алат греческий,"188,5 к ал","3,9 г","17,8 г","3,4 г"
—алат дл€ мужчин,"127,5 к ал","1,6 г",10 г,"8,3 г"
—алат из апельсинов и лука-поре€,0 к ал,0 г,0 г,0 г
—алат из белокачанной капусты,"67,9 к ал","1,8 г","3,6 г","7,6 г"
—алат из белокочанной и морской капусты,"84,6 к ал","1,8 г","5,1 г","8,4 г"
—алат из белокочанной капусты с кальмарами,"229,5 к ал",14 г,"17,7 г","3,7 г"
—алат из белокочанной капусты с сельдью и шпиком,"185,6 к ал",13 г,13 г,"4,4 г"
—алат из белокочанной капусты с €блоками и сельдереем,"85,3 к ал","1,6 г",5 г,9 г
—алат из белых грибов или шампиньонов,"62,3 к ал","5,2 г","2,5 г","5,2 г"
—алат из бобов,"157,4 к ал","3,3 г","13,9 г",5 г
—алат из грибов и квашеной капусты,"120,3 к ал",2 г,"8,7 г","8,9 г"
—алат из грибов с сельдью,"135,7 к ал","8,2 г","10,8 г","1,6 г"
—алат из зелени с дичью,"230,4 к ал","6,8 г","18,5 г","9,7 г"
—алат из кабачков и помидоров,"103,4 к ал","1,1 г",9 г,"4,8 г"
—алат из кальмаров с €блоками,"315,3 к ал","16,4 г","21,6 г","14,7 г"
—алат из капусты с апельсинами,"99,1 к ал","2,5 г","5,3 г","11,1 г"
—алат из капусты с грибами,"106,6 к ал","5,9 г","5,5 г",9 г
—алат из капусты с €блоками,"32,4 к ал","1,5 г","0,2 г","6,5 г"
—алат из капусты с €блоками,"60,2 к ал","2,5 г","3,1 г",6 г
—алат из капусты с €блоками и луком,"71,7 к ал","1,1 г","2,3 г","12,4 г"
—алат из картофел€ с морской капустой и свеклой,114 к ал,"2,1 г","7,8 г","9,4 г"
—алат из картофел€ с редькой и €блоками,"205,8 к ал","4,2 г","17,9 г","7,5 г"
—алат из квашенной капусты,"77,8 к ал","1,6 г","3,1 г","11,6 г"
—алат из квашенной капусты и свеклы,"69,9 к ал","1,9 г",5 г,"4,6 г"
—алат из квашеной капусты,"101,7 к ал","1,4 г","8,1 г","6,2 г"
—алат из квашеной капусты с селью,"165,3 к ал",8 г,"11,4 г","8,3 г"
—алат из кильки в томатном соусе,"283,5 к ал",5 г,"27,2 г",5 г
—алат из кольраби,"144,8 к ал","2,1 г","12,3 г",7 г
—алат из крабов,"171,8 к ал","14,7 г","9,5 г","7,3 г"
"—алат из красного сладкого перца, зеленого горошка и риса","247,2 к ал",10 г,"5,3 г","42,4 г"
—алат из краснокачанной капусты,"64,4 к ал","0,8 г","3,6 г","7,8 г"
—алат из краснокачанной капусты с €блоками,"38,1 к ал","0,7 г","0,3 г","8,6 г"
—алат из краснокочанной капусты,"86,8 к ал","0,5 г","6,1 г","7,8 г"
—алат из краснокочанной капусты с грибами,"97,4 к ал","1,8 г","6,5 г","8,4 г"
—алат из креветок с рисом,"310,1 к ал","25,6 г","10,3 г","30,6 г"
—алат из кукурузы,"317,6 к ал","8,8 г","8,5 г","54,8 г"
—алат из курицы по-архангельски,"195,9 к ал","4,7 г",15 г,"11,3 г"
—алат из маринованной свеклы с €блоками,"90,1 к ал","1,3 г","6,1 г",8 г
—алат из моркови,"191,8 к ал","5,7 г","7,6 г","26,8 г"
—алат из моркови и капусты,"140,6 к ал","1,7 г",11 г,"9,2 г"
"—алат из моркови с курагой, помидорами и €блоками","78,2 к ал","1,2 г","2,8 г","12,8 г"
—алат из моркови с орехами и медом,"219,4 к ал","4,9 г","15,2 г","16,7 г"
—алат из моркови с хреном,"141,2 к ал","1,9 г","12,6 г","5,4 г"
—алат из морского гребешка с огурцами,"148,2 к ал",9 г,"11,1 г","3,3 г"
—алат из овощей с капустой морской,"136,8 к ал",2 г,"10,6 г","9,1 г"
—алат из огурцов,57 к ал,"1,1 г","4,5 г","3,2 г"
—алат из огурцов,0 к ал,0 г,0 г,0 г
—алат из перца,173 к ал,"1,1 г","16,9 г","4,4 г"
—алат из помидоров,146 к ал,"4,4 г","12,4 г","4,4 г"
—алат из помидоров и огурцов,"89,2 к ал","0,7 г","7,7 г","4,5 г"
—алат из помидоров по-чилийски,"19,9 к ал","0,6 г","0,2 г","4,2 г"
"—алат из помидоров, огурцов и сладкого перца",25 к ал,"1,1 г","0,2 г","5,2 г"
—алат из птицы  или дичи,"198,8 к ал","5,6 г","15,1 г","10,9 г"
—алат из птицы или дичи,"243,5 к ал","11,2 г","19,4 г","6,3 г"
—алат из разных фруктов,"147,3 к ал",1 г,"11,9 г","9,5 г"
—алат из редиса,0 к ал,0 г,0 г,0 г
—алат из редиски со метаной,"106,4 к ал",2 г,"9,3 г",4 г
—алат из редьки,"204,2 к ал","2,2 г","19,1 г","6,3 г"
—алат из редьки и картофел€ по-кабардински,"128,4 к ал","4,7 г","9,2 г","7,3 г"
—алат из редьки с орехами,0 к ал,0 г,0 г,0 г
—алат из репы,"142,6 к ал","1,8 г","9,4 г","13,6 г"
—алат из рыбы,"184,9 к ал","10,5 г",13 г,"6,9 г"
—алат из свежей капусты с м€сом,"143,1 к ал","3,7 г","12,8 г","3,6 г"
—алат из свежих овощей,"77,5 к ал","1,6 г","4,4 г","8,3 г"
—алат из свеклы и хрена,"95,6 к ал","1,3 г","5,2 г","11,6 г"
—алат из свеклы с орехами,"117,8 к ал","1,7 г","8,8 г","8,5 г"
—алат из свеклы с сыром и чесноком,"211,6 к ал","7,1 г","17,1 г","7,8 г"
