ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
јнчоусное масло,"235,3049 к ал","16,2388 г","18,8155 г","0,2524 г"
јпельсиновый майонез,"514,1 к ал","2,7 г","54,5 г","3,4 г"
јпельсиновый соус,"55,3 к ал","0,6 г","4,6 г","3,1 г"
«аправка горчична€,313 к ал,"1,2 г","31,3 г",7 г
«аправка дл€ салатов,"447,2 к ал",0 г,"47,5 г","5,2 г"
 оричневый соус,"97,5 к ал","0,7 г","9,1 г","3,3 г"
ћаринад овощной без томата,120 к ал,"1,2 г","7,8 г","12,1 г"
ћаринад овощной с томатом,"142,7 к ал","3,2 г","8,7 г","13,7 г"
ћасло зеленое,"558,2625 к ал","1,1542 г","60,4667 г","2,1958 г"
"ћасло зеленое или килечное, или селедочное (селедочное)","553,2524 к ал","5,0243 г","58,6893 г","1,2379 г"
ћасло с кильками,"524,7545 к ал","6,3909 г","55,0455 г","0,9455 г"
ћасло со шпротами или сардинами,"539,3 к ал","3,3 г","57,2 г","3,1 г"
ћолочный соус,"143,4 к ал",3 г,"11,5 г","7,5 г"
ѕеречна€ приправа,"137,8 к ал","2,9 г",11 г,"7,2 г"
ѕри€тный соус,"104,7 к ал","1,5 г","9,4 г","3,9 г"
—алатна€ заправка,444 к ал,"0,1 г","46,9 г","5,7 г"
—оус - белое вино,"214,9 к ал","15,4 г","14,5 г","6,1 г"
—оус белый,"44,8 к ал","0,6 г","3,5 г",3 г
—оус белый (дл€ запекани€ рыбы),"148,6 к ал","15,3 г","7,4 г","5,5 г"
—оус белый основной,133 к ал,12 г,"7,4 г","4,9 г"
—оус белый с €йцом,"236,4 к ал","12,8 г","18,5 г",5 г
—оус голландский,"432,8 к ал","5,6 г","44,9 г","1,6 г"
—оус голландский,"114,4 к ал","2,4 г",10 г,4 г
—оус грибной,"97,1 к ал","1,9 г","7,7 г","5,3 г"
—оус грибной,"69,3 к ал","1,1 г","5,9 г","3,1 г"
—оус грибной с томатом,"133,6 к ал","2,8 г","9,8 г","9,1 г"
—оус из зелени,"310,5 к ал","1,8 г","32,3 г","3,3 г"
—оус из кильки,"68,8 к ал","2,7 г","5,2 г",3 г
—оус из масла и крутого €йца,"376,4 к ал","4,9 г",39 г,"1,4 г"
—оус из репчатого лука,"63,9 к ал","0,9 г","5,1 г","3,8 г"
—оус из сельдере€,"243,7 к ал","2,8 г","21,6 г","10,2 г"
—оус из хрена,"131,7 к ал","1,9 г","10,2 г","8,5 г"
—оус из шампиньонов со сливками.,"163,1 к ал",4 г,"14,7 г",4 г
—оус красный кисло-сладкий,"240,3 к ал","14,1 г","5,6 г","35,5 г"
—оус красный основной,"123,1 к ал","9,9 г",5 г,"10,1 г"
—оус красный с вином,"186,8 к ал","11,2 г",11 г,"11,4 г"
—оус красный с корень€ми (дл€ тефтелей),"189,8 к ал",11 г,"10,7 г","13,1 г"
—оус красный с корень€ми (дл€ тушеного м€са),"199,6 к ал","12,4 г",10 г,16 г
—оус красный с луком и грибами (охотничий),"201,5 к ал","10,1 г","13,3 г","11,2 г"
—оус красный с луком и огурцами,"208,9 к ал","10,9 г","12,9 г","13,2 г"
—оус майонез,"665,5 к ал",2 г,72 г,"2,6 г"
—оус майонез с желе (банкетный),"374,5 к ал","13,5 г",35 г,"1,5 г"
—оус майонез с корнишонами,"471,3 к ал","3,1 г","49,9 г","2,6 г"
—оус майонез с хреном,"522,4 к ал","3,4 г","54,4 г","5,1 г"
—оус майонез со сметаной,"515,7 к ал","2,9 г","54,9 г","2,8 г"
"—оус молочный (дл€ запекани€ овощей, м€са, рыбы)","144,4 к ал","3,4 г","10,1 г","10,6 г"
—оус молочный (дл€ подачи к блюду),109 к ал,"3,2 г",7 г,"8,9 г"
—оус молочный (сладкий),"127,2 к ал","2,9 г","5,7 г","17,2 г"
—оус молочный густой (дл€ фаршировани€),173 к ал,"3,6 г","12,4 г","12,6 г"
—оус паровой,"213,5 к ал","15,3 г","14,2 г","6,5 г"
—оус польский,559 к ал,5 г,"59,5 г",1 г
—оус сметанный,"326,3 к ал","2,8 г","32,3 г","6,5 г"
—оус сметанный с томатом,"305,8 к ал",3 г,"29,5 г","7,6 г"
—оус сметанный с томатом и луком,411 к ал,"4,3 г","38,2 г","13,2 г"
—оус сметанный с хреном,"341,7 к ал","3,7 г","32,3 г","9,7 г"
—оус сухарный,"500,4 к ал","3,2 г","48,8 г",13 г
—оус татарский,"283,8 к ал","3,1 г","26,1 г","9,6 г"
—оус томатный,134 к ал,"7,1 г","5,6 г","14,6 г"
—оус томатный,"133,2 к ал","8,2 г","5,1 г","14,6 г"
—оус томатный с грибами,"199,9 к ал","8,4 г","11,6 г","16,5 г"
—оус томатный с овощами,"219,4 к ал","7,9 г",14 г,"16,4 г"
—оус универсальный,"211,1 к ал","8,8 г","17,8 г","4,1 г"
—оус хрен (со сметаной),"217,7 к ал","3,1 г","19,3 г","8,6 г"
—ырный соус,"141,5 к ал",6 г,"10,8 г","5,5 г"
“ворожный майонез,"290,3 к ал","7,6 г","26,7 г","5,1 г"
’лебный соус,"81,8 к ал","1,4 г","7,1 г","3,2 г"
яично-масл€ный соус,321 к ал,3 г,"34,1 г","0,6 г"
