ѕродукт, алорийность,Ѕелки,∆иры,”глеводы
KRAFT BREAKSTONE'S FREE ќбезжиренна€ сметана,91 к ал,"4,7 г","1,3 г","15,1 г"
KRAFT BREYERS LIGHT N' LIVELY  лубничний йогурт 1% с низким содержанием жира,108 к ал,"3,2 г","0,8 г","21,9 г"
KRAFT BREYERS LIGHT ќбезжиренный клубничный йогурт (с заменител€ми сахара аспартам и фруктозой),55 к ал,"3,4 г","0,2 г","9,9 г"
KRAFT BREYERS Smooth  Creamy  лубничний йогурт 1% с низким содержанием жира,102 к ал,"3,8 г","0,9 г","19,9 г"
KRAFT BREYERS  лубничний йогурт 1% с низким содержанием жира,96 к ал,"3,8 г","0,8 г","18,2 г"
"KRAFT CHEEZ WHIZ LIGHT, ѕастеризованый плавленый сыр",215 к ал,"16,3 г","9,5 г","16,2 г"
"KRAFT CHEEZ WHIZ, ѕастеризованый плавленый сырный соус",276 к ал,12 г,21 г,"9,2 г"
"KRAFT FREE, ќбезжиренный пастеризованый плавленый сыр",148 к ал,"22,7 г",1 г,"11,7 г"
KRAFT VELVEETA LIGHT ѕастеризованый плавленый сыр с низким модержанием жира,222 к ал,"19,6 г","10,6 г","11,8 г"
јцидофилин 1%,40 к ал,3 г,1 г,4 г
"јцидофилин 3,2% жирности",59 к ал,"2,9 г","3,2 г","3,8 г"
"јцидофилин 3,2% жирности сладкий",77 к ал,"2,8 г","3,2 г","8,6 г"
јцидофилин обезжиренный,31 к ал,3 г,"0,05 г","3,9 г"
"Ѕелкова€ добавка, на основе молока, Muscle Milk Light, порошок",396 к ал,50 г,12 г,20 г
"Ѕелкова€ добавка, на основе молока, Muscle Milk, порошок",411 к ал,"45,71 г","17,14 г","11,4 г"
"Ѕрынза из коровьего молока, м.д.ж. 40% в сух. в-ве",262 к ал,"22,1 г","19,2 г","0,4 г"
"Ѕрынза овечь€, м.д.ж. 40% в сух. в-ве",260 к ал,"21,1 г","18,8 г","0,3 г"
"¬аренец  2,5% жирности",53 к ал,"2,9 г","2,5 г","4,1 г"
"ƒульсе де лече, варЄное сгущенное молоко (латиноамериканский десерт)",315 к ал,"6,84 г","7,35 г","55,35 г"
"«аменитель взбитых сливок, приготовленный из порошка, 6% жирности",100 к ал,"0,9 г",6 г,"10,6 г"
«аменитель молока с маслами лауриновой кислоты,61 к ал,"1,75 г","3,41 г","6,16 г"
"«аменитель молока, без сои",46 к ал,"1,6 г",2 г,"5,3 г"
"«аменитель молока, порошок",529 к ал,"2,48 г","32,92 г","59,29 г"
«аменитель сливок 10% жирности с гидрогенизированным растительным маслом и протеинами сои,136 к ал,1 г,"9,97 г","11,38 г"
«аменитель сливок 10% жирности с маслами лауриновой кислоты и казеинатом натри€,136 к ал,1 г,"9,97 г","11,38 г"
"«аменитель сливок 13,5% жирности ароматизированный",251 к ал,"0,69 г","13,5 г","33,97 г"
"«аменитель сливок 3,5% жирности",71 к ал,"0,8 г","3,5 г","9,1 г"
"«аменитель сливок сухой 15,7% жироности",431 к ал,"1,9 г","15,7 г","73,4 г"
"«аменитель сливок сухой 21,5% жироности ароматизированный",482 к ал,"0,68 г","21,47 г","74,22 г"
"«аменитель сливочного масла, обезжиренный, порошок",373 к ал,2 г,1 г,89 г
"«аменитель сметаны 19,5% жирности",208 к ал,"2,4 г","19,52 г","6,63 г"
"«аменитель сыра (иммитаци€), американский или чеддер, с низким содержанием холестерина",390 к ал,25 г,32 г,1 г
"«аменитель сыра (иммитаци€), американский чеддер",239 к ал,"16,7 г",14 г,"11,6 г"
"«аменитель сыра, моцарелла",248 к ал,"11,47 г","12,22 г","23,67 г"
"«аправка дл€ десерта, в аэрозольной упаковке",264 к ал,"0,98 г","22,3 г","16,07 г"
"«аправка дл€ десерта, полужидка€, замороженна€",318 к ал,"1,25 г","25,31 г","23,05 г"
"«аправка дл€ десерта, порошок",577 к ал,"4,9 г","39,92 г","52,54 г"
"«аправка дл€ десерта, порошок, 1,5 унции приготовлены на пол стакана молока",194 к ал,"3,61 г","12,72 г","17,13 г"
"…огурт 1,15% жирности, 4% белка, фруктовый",99 к ал,"3,98 г","1,15 г","18,64 г"
"…огурт 1,15% жирности, 4% белка, фруктовый, с витамином D",99 к ал,"3,98 г","1,15 г","18,64 г"
"…огурт 1,25% жирности, 5% белка, ванильный",85 к ал,"4,93 г","1,25 г","13,8 г"
"…огурт 1,25% жирности, 5% белка, с витамином D, ванильный",85 к ал,"4,93 г","1,25 г","13,8 г"
"…огурт 1,25% жирности, ванильный, с низкокалорийным подсластителем",86 к ал,"4,93 г","1,25 г","13,8 г"
"…огурт 1,4% жирности, 4,9% белка, фруктовый",105 к ал,"4,86 г","1,41 г","18,6 г"
"…огурт 1,4% жирности, фруктовый, с низкокалорийным подсластителем",105 к ал,"4,86 г","1,41 г","18,6 г"
"…огурт 1,4% жирности, фруктовый, с низкокалорийным подсластителем, с витамином D",105 к ал,"4,86 г","1,41 г","18,6 г"
"…огурт 1,5% жирности, 4,1% белка, натуральный",57 к ал,"4,1 г","1,5 г","5,9 г"
"…огурт 1,5% жирности, 4% белка, плодово-€годный",90 к ал,4 г,"1,5 г","14,3 г"
"…огурт 1,5% жирности, 5,25% белка, натуральный",63 к ал,"5,25 г","1,55 г","7,04 г"
"…огурт 1,5% жирности, 5% белка, сладкий",70 к ал,5 г,"1,5 г","8,5 г"
"…огурт 1% жирности, 4,4% белка, фруктовый",102 к ал,"4,37 г","1,08 г","19,05 г"
"…огурт 1% жирности, 4,4% белка, фруктовый, с витамином D",102 к ал,"4,37 г","1,08 г","19,05 г"
"…огурт 3,2% жирности, 5% белка, натуральный",68 к ал,5 г,"3,2 г","3,5 г"
"…огурт 3,2% жирности, 5% белка, сладкий",87 к ал,5 г,"3,2 г","8,5 г"
"…огурт 3,25% жирности, 3,5% белка, натуральный",61 к ал,"3,47 г","3,25 г","4,66 г"
"…огурт 6% жирности, 5% белка, натуральный",92 к ал,5 г,6 г,"3,5 г"
"…огурт 6% жирности, 5% белка, сладкий",112 к ал,5 г,6 г,"8,5 г"
"…огурт греческий 1,5% жирности, лимонный, CHOBANI",92 к ал,"7,75 г","1,47 г","11,41 г"
"…огурт греческий 1,7% жирности, клубнично-банановый, CHOBANI",88 к ал,8 г,"1,71 г","9,54 г"
"…огурт греческий 1,7% жирности, кокосовый, CHOBANI",92 к ал,"8,11 г","1,71 г","10,54 г"
"…огурт греческий 1,8% жирности, ананасовый, CHOBANI",94 к ал,"7,05 г","1,82 г","11,57 г"
"…огурт греческий 1,8% жирности, €годный, CHOBANI",93 к ал,"8,26 г","1,83 г","10,34 г"
"…огурт греческий 1,9% жирности, натуральный",73 к ал,"9,95 г","1,92 г","3,94 г"
"…огурт греческий 1.7% жирности, абрикосовый, CHOBANI",93 к ал,"7,22 г","1,71 г","11,55 г"
"…огурт греческий 2,5% жирности, ванильный",95 к ал,"8,64 г","2,5 г","9,54 г"
"…огурт греческий 2,6% жирности , клубничный",105 к ал,"8,17 г","2,57 г","11,29 г"
"…огурт греческий 2,9% жирности, клубничный, DANNON OIKOS",106 к ал,"8,25 г","2,92 г","10,67 г"
"…огурт греческий 3% жирности, фруктовый",106 к ал,"7,33 г",3 г,"12,29 г"
"…огурт греческий 4% жирности, натуральный, CHOBANI",82 к ал,"8,24 г","4,01 г","2,44 г"
"…огурт греческий 5% жирности, натуральный",97 к ал,9 г,5 г,"3,98 г"
…огурт греческий обезжиренный клубничный,82 к ал,"8,05 г","0,15 г","11,47 г"
…огурт греческий обезжиренный малиновый,78 к ал,"8,64 г","0,18 г","9,87 г"
…огурт греческий обезжиренный натуральный,59 к ал,"10,19 г","0,39 г","3,6 г"
"…огурт греческий обезжиренный, ванильный, CHOBANI",71 к ал,"9,07 г","0,22 г","7,79 г"
"…огурт греческий обезжиренный, ванильный, DANNON OIKOS",85 к ал,"8,12 г","0,14 г","12,22 г"
"…огурт греческий обезжиренный, клубничный, DANNON OIKOS",84 к ал,"8,03 г","0,22 г","12,13 г"
"…огурт греческий обезжиренный, лимонный, CHOBANI",78 к ал,"8,62 г","0,15 г","10,16 г"
"…огурт греческий обезжиренный, малиновый, CHOBANI",81 к ал,"7,65 г","0,22 г","11,48 г"
"…огурт греческий обезжиренный, натуральный, CHOBANI",54 к ал,"9,53 г","0,24 г","3,23 г"
"…огурт греческий обезжиренный, персиковый, CHOBANI",80 к ал,"7,76 г","0,11 г","11,2 г"
"…огурт греческий обезжиренный, с гранатом, CHOBANI",80 к ал,"7,45 г","0,18 г","11,33 г"
"…огурт греческий обезжиренный, с ежевикой, CHOBANI",95 к ал,"7,54 г","0,37 г","15,03 г"
"…огурт греческий обезжиренный, с клубникой, CHOBANI",79 к ал,"7,28 г","0,23 г","11,46 г"
"…огурт греческий обезжиренный, черничный, CHOBANI",82 к ал,"7,23 г","0,24 г","12,28 г"
"…огурт замороженный, 2,5% жирности (вкусы кроме шоколадного)",139 к ал,8 г,"2,5 г",21 г
"…огурт замороженный, обезжиренный, с низкокалорийным подсластителем  (вкусы кроме шоколадного)",104 к ал,"4,4 г","0,8 г","17,7 г"
"…огурт обезжиренный, 5,7% белка, натуральный",56 к ал,"5,73 г","0,18 г","7,68 г"
"…огурт обезжиренный, ванильный",78 к ал,"2,94 г",0 г,"17,04 г"
"…огурт обезжиренный, ванильный или лимонный , с низкокалорийным подсластителем, с витамином D",43 к ал,"3,86 г","0,18 г","7,5 г"
"…огурт обезжиренный, ванильный или лимонный, с низкокалорийным подсластителем",43 к ал,"3,86 г","0,18 г","7,5 г"
"…огурт обезжиренный, фруктовый",95 к ал,"4,4 г","0,2 г",19 г
"…огурт обезжиренный, фруктовый, с витамином D",95 к ал,"4,4 г","0,2 г",19 г
"…огурт обезжиренный, шоколадный",112 к ал,"3,53 г",0 г,"22,33 г"
"…огурт обезжиренный, шоколадный, с витамином D",112 к ал,"3,53 г",0 г,"22,33 г"
"…огурт питьевой  2,5% жирности, с фруктовым наполнителем",86 к ал,"2,8 г","2,5 г",13 г
"…огурт питьевой 1,5% жирности, с фруктовым наполнителем",78 к ал,3 г,"1,5 г",13 г
"…огурт питьевой 1% жирности, с фруктовым наполнителем",71 к ал,"2,7 г",1 г,"12,2 г"
"…огурт питьевой клубничный 0,9% жирности, витаминизированный, LIFEWAY",62 к ал,"3,39 г","0,9 г","10,2 г"
…огурт сублимационной сушки,534 к ал,16 г,36 г,"38,1 г"
"…огурт сублимационной сушки, плодово-€годный",484 к ал,16 г,26 г,"48,5 г"
"…огурт сублимационной сушки, сладкий",491 к ал,16 г,"27,5 г","47,3 г"
" акао с молоком, напиток",77 к ал,"3,52 г","2,34 г","9,74 г"
" акао со сгущенным молоком и сахаром, консервы",321 к ал,"8,2 г","7,5 г","51,6 г"
" акао со сгущенными сливками, консервы",356 к ал,"8,2 г","15,5 г","48,3 г"
 ефир 1% жирности,40 к ал,3 г,1 г,4 г
" ефир 1% жирности, витаминизированный, LIFEWAY",43 к ал,"3,79 г","1,02 г","4,77 г"
" ефир 2,5% жирности",53 к ал,"2,9 г","2,5 г",4 г
" ефир 3,2% жирности",59 к ал,"2,9 г","3,2 г",4 г
 ефир обезжиренный,31 к ал,3 г,"0,05 г",4 г
" исла€ сквашенна€ кремова€ заправка, без молочного жира",178 к ал,"3,25 г","16,57 г","4,68 г"
" офе натуральный со сгущенным молоком, консервы",312 к ал,"8,4 г","8,6 г",53 г
 умыс из кобыльего молока,50 к ал,"2,1 г","1,9 г",5 г
" умыс коровий, нежирный",41 к ал,3 г,"0,05 г","6,3 г"
ћасло сливочное Ђ¬ологодскоеї,748 к ал,"0,5 г","82,5 г","0,8 г"
ћасло сливочное 55% жирности,499 к ал,"3,3 г","55,1 г",0 г
"ћасло сливочное 55% жирности, соленое",499 к ал,"3,3 г","55,1 г",0 г
"ћасло сливочное 60% жирности, высокобелковое",567 к ал,"5,1 г",60 г,"1,8 г"
"ћасло сливочное 61,5% жирности, бутербродное",566 к ал,"1,3 г","61,5 г","1,7 г"
"ћасло сливочное 71,5% жирности, кресть€нское соленое",647 к ал,"0,8 г","71,5 г","1,3 г"
"ћасло сливочное 72,5% жирности, кресть€нское",661 к ал,"0,8 г","72,5 г","1,3 г"
"ћасло сливочное 75% жирности, обогащЄнное витамином ≈",683 к ал,"0,7 г",75 г,"1,3 г"
"ћасло сливочное 77% жирности, любительское соленое",700 к ал,"0,7 г",77 г,1 г
"ћасло сливочное 78% жирности, любительское",709 к ал,"0,7 г",78 г,1 г
ћасло сливочное 81% жирности,717 к ал,"0,85 г","81,11 г","0,06 г"
"ћасло сливочное 81% жирности, соленое",717 к ал,"0,85 г","81,11 г","0,06 г"
"ћасло сливочное 82,5% жирности, традиционное (в т.ч. ¬ологодское)",748 к ал,"0,5 г","82,5 г","0,8 г"
"ћасло сливочное взбитое 78,3% жирности, соленое",731 к ал,"0,49 г","78,3 г",0 г
ћасло сливочное топлЄное,900 к ал,0 г,100 г,0 г
"ћасло сливочное топленое, 99% жирности",892 к ал,"0,2 г",99 г,0 г
"ћолоко 1,5% жирности, пастеризованное",45 к ал,3 г,"1,5 г","4,8 г"
"ћолоко 1,5% жирности, стерилизованное",45 к ал,3 г,"1,5 г","4,8 г"
"ћолоко 1%  жирности, с добавлением сухого обезжиренного молока, с витаминами A и D",43 к ал,"3,48 г","0,97 г","4,97 г"
ћолоко 1% жирности,42 к ал,"3,37 г","0,97 г","4,99 г"
ћолоко 1% жирности высокобелковое,52 к ал,"4,3 г",1 г,"6,4 г"
"ћолоко 1% жирности высокобелковое, с витаминами A и D",48 к ал,"3,93 г","1,17 г","5,52 г"
"ћолоко 1% жирности, с витаминами A и D",42 к ал,"3,37 г","0,97 г","4,99 г"
"ћолоко 1% жирности, топленое",40 к ал,3 г,1 г,"4,8 г"
"ћолоко 2,5% жирности, пастеризованное",54 к ал,"2,9 г","2,5 г","4,8 г"
"ћолоко 2,5% жирности, стерилизованное",54 к ал,"2,9 г","2,5 г","4,8 г"
ћолоко 2% жирности,50 к ал,"3,3 г","1,98 г","4,8 г"
"ћолоко 2% жирности, высокобелковое",56 к ал,"3,95 г","1,98 г","5,49 г"
"ћолоко 2% жирности, высокобелковое, с витаминами A и D",56 к ал,"3,95 г","1,98 г","5,49 г"
"ћолоко 2% жирности, с витаминами A и D",50 к ал,"3,3 г","1,98 г","4,8 г"
"ћолоко 2% жирности, с добавлением сухого обезжиренного молока, с витаминами A и D",51 к ал,"3,48 г","1,92 г","4,97 г"
"ћолоко 3,2% жирности, пастеризованное",60 к ал,"2,9 г","3,2 г","4,7 г"
"ћолоко 3,2% жирности, стерилизованное",60 к ал,3 г,"3,2 г","4,7 г"
"ћолоко 3,25% жирности",61 к ал,"3,15 г","3,27 г","4,78 г"
"ћолоко 3,25% жирности, с витамином D",61 к ал,"3,15 г","3,25 г","4,8 г"
"ћолоко 3,5% жирности, пастеризованное",62 к ал,"2,9 г","3,5 г","4,7 г"
"ћолоко 3,5% жирности, со сниженным содержанием натри€",61 к ал,"3,1 г","3,46 г","4,46 г"
"ћолоко 3,5% жирности, стерилизованное",63 к ал,3 г,"3,5 г","4,7 г"
"ћолоко 3% жирности, стерилизованное",58 к ал,"2,9 г",3 г,"4,7 г"
"ћолоко 4% жирности, топленое",67 к ал,"2,9 г",4 г,"4,7 г"
"ћолоко 6% жирности, топленое",84 к ал,3 г,6 г,"4,7 г"
ћолоко буйволиное,106 к ал,4 г,"7,8 г","4,9 г"
ћолоко верблюжье,"81,5 к ал",4 г,"5,1 г","4,9 г"
ћолоко грудное,70 к ал,"1,03 г","4,38 г","6,89 г"
ћолоко индийского буйвола,97 к ал,"3,75 г","6,89 г","5,18 г"
ћолоко кобылье,41 к ал,"2,2 г",1 г,"5,8 г"
ћолоко козье,68 к ал,3 г,"4,2 г","4,5 г"
"ћолоко козье, с витамином D",69 к ал,"3,56 г","4,14 г","4,45 г"
"ћолоко коровье сырое 3,6% жирности, фермерское (непастеризованное, нестрерилизованное, некип€ченое)",65 к ал,"3,2 г","3,6 г","4,8 г"
"ћолоко коровье сырое 3,7% жирности, фермерское",64 к ал,"3,28 г","3,66 г","4,65 г"
ћолоко обезжиренное,35 к ал,"3,37 г","0,18 г","4,86 г"
"ћолоко обезжиренное, высокобелковое, с витаминами A и D",41 к ал,"3,96 г","0,25 г","5,56 г"
"ћолоко обезжиренное, обогащенное кальцием",35 к ал,"3,4 г","0,18 г","4,85 г"
"ћолоко обезжиренное, пастеризованное",32 к ал,3 г,"0,05 г","4,9 г"
"ћолоко обезжиренное, с витаминами A и D",34 к ал,"3,37 г","0,08 г","4,96 г"
